date,ticker,pred_horizon_return,gross_return,net_return,success,hormuz_closure,red_sea_disruption,sanctions_escalation,oil_above_100,gold_above_3000,silver_above_40,taiwan_strait_crisis,russia_ukraine_ceasefire,us_recession,middle_east_war_escalation,regime,month
2024-12-11,MTDR,0.04766230126116735,0.07963059319440458,0.07163059319440457,1,0.5,0.5,0.5,0.5,0.03702059097032496,0.028999999999999998,0.026599061671126027,0.058305471465063936,0.135,0.8785170031554465,High Hormuz,12
2024-12-11,AR,0.02942173398714491,0.16413366142047203,0.15613366142047203,1,0.5,0.5,0.5,0.5,0.03702059097032496,0.028999999999999998,0.026599061671126027,0.058305471465063936,0.135,0.8785170031554465,High Hormuz,12
2024-12-11,RRC,0.028726928732069466,0.06976103858156013,0.06176103858156013,1,0.5,0.5,0.5,0.5,0.03702059097032496,0.028999999999999998,0.026599061671126027,0.058305471465063936,0.135,0.8785170031554465,High Hormuz,12
2024-12-12,MTDR,0.14452106140323548,0.10129916696815,0.09329916696815,1,0.5,0.5,0.5,0.5,0.045135056004865705,0.0265,0.020253988609938316,0.053386525021287295,0.125,0.8762780473667926,High Hormuz,12
2024-12-12,SM,0.11355398947457038,0.08203986212956726,0.07403986212956726,1,0.5,0.5,0.5,0.5,0.045135056004865705,0.0265,0.020253988609938316,0.053386525021287295,0.125,0.8762780473667926,High Hormuz,12
2024-12-12,RRC,0.07422562552858814,0.09841971907668001,0.09041971907668,1,0.5,0.5,0.5,0.5,0.045135056004865705,0.0265,0.020253988609938316,0.053386525021287295,0.125,0.8762780473667926,High Hormuz,12
2024-12-13,MTDR,0.09885567503849708,0.12224379031667088,0.11424379031667087,1,0.5,0.5,0.5,0.5,0.03969862290176797,0.027,0.0207420711531066,0.05486220895442029,0.135,0.8799292675759821,High Hormuz,12
2024-12-13,RRC,0.08092845548493648,0.14087704588104422,0.1328770458810442,1,0.5,0.5,0.5,0.5,0.03969862290176797,0.027,0.0207420711531066,0.05486220895442029,0.135,0.8799292675759821,High Hormuz,12
2024-12-13,AR,0.07236819414248416,0.24281745040805025,0.23481745040805024,1,0.5,0.5,0.5,0.5,0.03969862290176797,0.027,0.0207420711531066,0.05486220895442029,0.135,0.8799292675759821,High Hormuz,12
2024-12-16,MTDR,0.09871166027719094,0.12836039049679226,0.12036039049679226,1,0.5,0.5,0.5,0.5,0.009858302216867712,0.0195,0.022694401325779743,0.04650000000000001,0.135,0.8780692119977157,High Hormuz,12
2024-12-16,SM,0.06773443431336723,0.12008122913247266,0.11208122913247265,1,0.5,0.5,0.5,0.5,0.009858302216867712,0.0195,0.022694401325779743,0.04650000000000001,0.135,0.8780692119977157,High Hormuz,12
2024-12-16,RRC,0.06629191458274483,0.1950796476787484,0.1870796476787484,1,0.5,0.5,0.5,0.5,0.009858302216867712,0.0195,0.022694401325779743,0.04650000000000001,0.135,0.8780692119977157,High Hormuz,12
2024-12-17,MTDR,0.0940050375875124,0.14508892135579177,0.13708892135579176,1,0.5,0.5,0.5,0.5,0.011823555899986281,0.016,0.020253988609938316,0.04600810535562234,0.135,0.8781036574713874,High Hormuz,12
2024-12-17,SM,0.045151751826906054,0.11165423904933114,0.10365423904933113,1,0.5,0.5,0.5,0.5,0.011823555899986281,0.016,0.020253988609938316,0.04600810535562234,0.135,0.8781036574713874,High Hormuz,12
2024-12-17,RRC,0.040625970080797776,0.2026353692459233,0.19463536924592328,1,0.5,0.5,0.5,0.5,0.011823555899986281,0.016,0.020253988609938316,0.04600810535562234,0.135,0.8781036574713874,High Hormuz,12
2024-12-18,MTDR,0.07014503908488551,0.17409216343186262,0.16609216343186262,1,0.5,0.5,0.5,0.5,0.00794763405426655,0.017,0.016837410807760314,0.030759371379914763,0.125,0.8775180844189701,High Hormuz,12
2024-12-18,RRC,0.03128156099501306,0.24453230557441796,0.23653230557441796,1,0.5,0.5,0.5,0.5,0.00794763405426655,0.017,0.016837410807760314,0.030759371379914763,0.125,0.8775180844189701,High Hormuz,12
2024-12-19,MTDR,0.06329060682413964,0.1987069924437952,0.1907069924437952,1,0.5,0.5,0.5,0.5,0.0051923073013338174,0.008,0.013908915548750596,0.036662107112446725,0.135,0.877449193471627,High Hormuz,12
2024-12-20,MTDR,0.03521653549642274,0.1720369534693189,0.1640369534693189,1,0.5,0.5,0.5,0.5,0.0030089813763848608,0.01,0.01634932826459203,0.028299898158026447,0.11,0.8761747109457778,High Hormuz,12
2024-12-20,AR,0.029003683251582636,0.3110248573219372,0.3030248573219372,1,0.5,0.5,0.5,0.5,0.0030089813763848608,0.01,0.01634932826459203,0.028299898158026447,0.11,0.8761747109457778,High Hormuz,12
2024-12-20,RRC,0.02667773079574807,0.22242317661956235,0.21442317661956234,1,0.5,0.5,0.5,0.5,0.0030089813763848608,0.01,0.01634932826459203,0.028299898158026447,0.11,0.8761747109457778,High Hormuz,12
2024-12-23,MTDR,0.032421953644658635,0.145427253237846,0.137427253237846,1,0.5,0.5,0.5,0.5,0.0037001094890606696,0.009,0.01586124572142374,0.019937689203606165,0.115,0.8755891378933605,High Hormuz,12
2024-12-23,RRC,0.02247733170525918,0.17456132376684663,0.16656132376684663,1,0.5,0.5,0.5,0.5,0.0037001094890606696,0.009,0.01586124572142374,0.019937689203606165,0.115,0.8755891378933605,High Hormuz,12
2024-12-24,MTDR,0.030387289850892316,0.10044310638913223,0.09244310638913222,1,0.5,0.5,0.5,0.5,0.002292924387952781,0.008,0.01244466791924574,0.017970110626095513,0.11,0.8756580288407037,High Hormuz,12
2024-12-24,RRC,0.020227785290034394,0.07406339015326657,0.06606339015326657,1,0.5,0.5,0.5,0.5,0.002292924387952781,0.008,0.01244466791924574,0.017970110626095513,0.11,0.8756580288407037,High Hormuz,12
2024-12-26,AR,0.06099599805599876,0.1344102305037409,0.1264102305037409,1,0.5,0.5,0.5,0.5,0.002417002542233052,0.0045,0.005123429771721449,0.011083585604808217,0.11,0.8746591101042273,High Hormuz,12
2024-12-26,RRC,0.044975403981794934,0.08186294058539989,0.07386294058539988,1,0.5,0.5,0.5,0.5,0.002417002542233052,0.0045,0.005123429771721449,0.011083585604808217,0.11,0.8746591101042273,High Hormuz,12
