variant,horizon_days,n_periods,annualized_alpha,annualized_return,cagr,information_ratio,sharpe,hit_rate,avg_alpha,max_drawdown,commodity_type,n_tickers
convexity,1,518,-0.352823575640087,-0.2084845164983475,-0.22003269238941692,-1.1242075699767773,-0.7378251595735511,0.45366795366795365,-0.0014000935541273293,-0.7787721361762752,base_metals,38
market_only,1,518,-0.43332026078612584,-0.28898120164438634,-0.27875080877488667,-1.4508730122487963,-1.0505502345041131,0.4594594594594595,-0.0017195248443893883,-0.9327984340429462,base_metals,38
convexity,1,504,-0.4589959966892582,-0.310647519238026,-0.3047758545114091,-1.2605585100936785,-0.9563713684086058,0.44642857142857145,-0.0018214126852748342,-0.9929966911135217,precious_metals,32
full_cross_market,1,518,-0.5035153563123649,-0.35917629717062555,-0.3322197781784224,-1.5428380541641096,-1.2031391071020194,0.44787644787644787,-0.001998076810763353,-1.022062921758645,base_metals,38
market_event,1,504,-0.6028547038349963,-0.45450622638376403,-0.39892955878304404,-1.61913760013481,-1.3822386982605745,0.4444444444444444,-0.0023922805707737946,-1.4358061873830594,precious_metals,32
full_cross_market,1,504,-0.6557178361974796,-0.5073693587462473,-0.43187241243164864,-1.7915529657783207,-1.4983481106623917,0.44246031746031744,-0.002602054905545554,-1.4400545829831854,precious_metals,32
market_only,1,504,-0.6864501323514329,-0.5381016549002006,-0.4396753076200538,-2.058133203605676,-1.8940704914090227,0.4305555555555556,-0.0027240084617120353,-1.1893303962803623,precious_metals,32
convexity,1,518,-0.7144584654904916,-0.570119406348752,-0.4477893773212689,-2.5136790175251296,-2.6677541352374177,0.3996138996138996,-0.002835152640835284,-1.2196986986139084,oil_gas_upstream,57
market_event,1,504,-0.7444995818900548,-0.5961511044388225,-0.4703523448064123,-2.4180297133288433,-2.1505574985901323,0.4583333333333333,-0.0029543634201986304,-1.365495012986068,oil_services,21
convexity,1,504,-0.752118329294163,-0.6037698518429307,-0.4732327848258012,-2.5068062917044287,-2.245984995018108,0.44246031746031744,-0.0029845965448181072,-1.4092583880649558,oil_services,21
full_cross_market,1,504,-0.767589390624724,-0.6192409131734917,-0.4832026727956328,-2.467191065310111,-2.198720790469346,0.4523809523809524,-0.003045989645336206,-1.485920883001499,oil_services,21
market_event,1,518,-0.8274861030435022,-0.6831470439017626,-0.5060968316011705,-3.4028363116687133,-3.3003352418811835,0.3745173745173745,-0.0032836750120773897,-1.4023070402291304,oil_gas_upstream,57
market_only,1,518,-0.9715841094614317,-0.8272450503196923,-0.5746216854436759,-3.373695463795707,-3.673134328468607,0.38223938223938225,-0.003855492497862824,-1.724258684416288,oil_gas_upstream,57
full_cross_market,1,518,-0.9803660954287396,-0.8360270362870003,-0.5773449731020504,-3.4543344885388447,-3.8686767137515656,0.36486486486486486,-0.0038903416485267447,-1.7160473746707863,oil_gas_upstream,57
market_only,1,504,-1.03296981149994,-0.8846213340487076,-0.6035871150882455,-3.265578266469499,-3.189056666954156,0.40674603174603174,-0.00409908655357119,-1.8560849086172806,oil_services,21
